canonical_name,blended_rating,n_sources,sp_overall,sp_offense,sp_defense,sp_st,sagarin_rating,sagarin_predictor,massey_rating,z_sp,z_sag,z_mas,z_blended
East Carolina,5.596916178398448,2,8,32.6,24,-0.5,NA,NA,73,0.541527299310634,NA,-0.09715661206932111,0.359046181773504
Florida,5.502051640855362,2,3.5,24.5,22.6,1.5,NA,NA,105,0.19981427975819332,NA,0.7319131442555523,0.35184252675743877
Northwestern,5.487716283567983,2,5.8,24.4,20,1.3,NA,NA,88,0.3744676008627741,NA,0.2914698362079633,0.3507539538185424
Tulane,5.454931493618012,2,6.3,32.4,27.6,1.6,NA,NA,84,0.41243571414637864,NA,0.18783611666735414,0.3482644005809431
Memphis,5.408683804457368,2,7.6,34.3,28.3,1.5,NA,NA,74,0.5111528086837503,NA,-0.07124818218416881,0.34475252557863056
NC State,5.260840128148305,2,4.8,31.4,25.5,-1.2,NA,NA,93,0.2985313742955651,NA,0.4210119856337248,0.3335258346778964
Kansas,4.858322039921513,2,4.1,30.9,28.5,1.7,NA,NA,94,0.24537601569851872,NA,0.44692041551887707,0.30296012993290683
Cincinnati,4.656626766769762,2,4.5,30.2,26.4,0.8,NA,NA,89,0.2757505063254024,NA,0.3173782660931156,0.28764415197332044
Wake Forest,4.441468594407341,2,5.7,26.6,20.9,0,NA,NA,78,0.3668739782060532,NA,0.03238553735644037,0.271305852249021
Mississippi State,4.1,1,4.1,31.6,29,1.5,NA,NA,NA,0.24537601569851872,NA,NA,0.24537601569851872
Arizona State,3.9,1,3.9,28.3,22.7,-1.7,NA,NA,NA,0.23018877038507696,NA,NA,0.23018877038507696
Washington State,3.8,1,3.8,24.6,20.5,-0.3,NA,NA,NA,0.22259514772835604,NA,NA,0.22259514772835604
Navy,3.7263104220449192,2,6.2,33.6,27.9,0.5,NA,NA,67,0.4048420914896578,NA,-0.25260719138023485,0.21699943924111703
UTSA,3.7,1,3.7,33.3,30,0.4,NA,NA,NA,0.21500152507163517,NA,NA,0.21500152507163517
Kentucky,3.605392544157198,2,1.8,25.5,23.7,0,NA,NA,98,0.07072269459393797,NA,0.5505541350594862,0.2078173918698089
Toledo,3.193525632094947,2,6,25.8,18.5,-1.3,NA,NA,63,0.38965484617621593,NA,-0.35624091092084403,0.17654177271991306
Boise State,3.1,1,3.1,29.1,25.1,-0.8,NA,NA,NA,0.16943978913130972,NA,NA,0.16943978913130972
Old Dominion,2.829651325346754,2,5.9,31.6,23.7,-2,NA,NA,60,0.38206122351949506,NA,-0.4339662005763009,0.14891053092069617
Minnesota,2.6112515356858266,2,1.5,23.8,20.8,-1.6,NA,NA,90,0.04794182662377526,NA,0.3432866959782679,0.13232607501077315
Texas State,2.3,1,2.3,36.6,34.6,0.4,NA,NA,NA,0.10869080787754248,NA,NA,0.10869080787754248
Baylor,2.2473772289376335,2,1.4,32.8,33.3,1.9,NA,NA,87,0.04034820396705435,NA,0.265561406322811,0.10469483321155626
Fresno State,1.8,1,1.8,23,21.1,-0.1,NA,NA,NA,0.07072269459393797,NA,NA,0.07072269459393797
UNLV,1.7842760942628182,2,4.3,33.8,29.8,0.2,NA,NA,61,0.26056326101196053,NA,-0.4080577706911486,0.06952868052535789
Rutgers,1.376771472584105,2,1,31.6,30.7,0.2,NA,NA,81,0.009973713340170741,NA,0.11011082701189726,0.03858431724637832
Maryland,0.993575275096612,2,0.6,24.4,24.7,0.9,NA,NA,80,-0.020400777286712874,NA,0.08420239712674496,0.009485843974275081
UConn,0.406066430227246,2,5.1,32,28.5,1.6,NA,NA,41,0.32131224226572774,NA,-0.9262263683941946,-0.03512736077996437
Wisconsin,-0.4332512373214019,2,-4.4,17.4,20.9,-0.9,NA,NA,102,-0.40008191012275807,NA,0.6541878546000954,-0.09886197734479993
Army,-0.6182419939639743,2,0.8,24.7,24.1,0.3,NA,NA,62,-0.005213531973271063,NA,-0.38214934080599633,-0.11290947735404973
UCF,-0.6820666577105026,2,-1.2,23.2,24,-0.5,NA,NA,76,-0.15708598510768915,NA,-0.01943132241386422,-0.11775608148088203
Western Michigan,-1.4,1,-1.4,21.7,21.8,-1.3,NA,NA,NA,-0.17227323042113094,NA,NA,-0.17227323042113094
Western Kentucky,-1.5090420991335107,2,1.6,28.8,28.6,1.4,NA,NA,47,0.05553544928049617,NA,-0.7707757890832808,-0.18055347596629728
Hawaii,-1.9250230865709752,2,1.7,27.3,27.3,1.7,NA,NA,42,0.06312907193721706,NA,-0.9003179385090423,-0.21214150247599992
New Mexico,-2.2040059226799253,2,0.9,25.4,26.1,1.6,NA,NA,45,0.002380090683449839,NA,-0.8225926488535854,-0.2333264063271317
Cal,-2.695529556921174,2,-3.2,25.6,27.9,-0.9,NA,NA,70,-0.3089584382421072,NA,-0.174881901724778,-0.2706508563800132
Utah State,-3.0999999999999996,1,-3.1,29.5,31.2,-1.4,NA,NA,NA,-0.3013648155853863,NA,NA,-0.3013648155853863
Michigan State,-3.3999999999999995,1,-3.4,26.6,28.7,-1.3,NA,NA,NA,-0.32414568355554896,NA,NA,-0.32414568355554896
Louisiana Tech,-4.36032596474774,2,-1.3,25.6,27,0.1,NA,NA,39,-0.16467960776441004,NA,-0.9780432281644992,-0.397069213593007
Ohio,-4.924150628494268,2,-4,23.2,25.2,-1.9,NA,NA,53,-0.36970741949587443,NA,-0.615325209772367,-0.4398839310034438
Miami (OH),-4.982988758788874,2,-3.4,19.3,24.2,1.5,NA,NA,48,-0.32414568355554896,NA,-0.7448673591981285,-0.444351876596286
Air Force,-5.035095439478147,2,-3.2,28.3,31.7,0.2,NA,NA,46,-0.3089584382421072,NA,-0.7966842189684331,-0.4483086613067718
West Virginia,-5.071994304803331,2,-6.8,22.8,30,0.3,NA,NA,72,-0.5823288538840597,NA,-0.1230650419544734,-0.45111062190417794
Purdue,-5.2543676872157805,2,-6.1,21.9,29.9,1.8,NA,NA,65,-0.5291734952870134,NA,-0.30442405115053944,-0.464959368390878
Kennesaw State,-5.4,1,-5.4,26.4,30.2,-1.7,NA,NA,NA,-0.4760181366899671,NA,NA,-0.4760181366899671
North Carolina,-5.514028632585431,2,-6.6,17.2,25,1.2,NA,NA,66,-0.5671416085706179,NA,-0.27851562126538715,-0.48467704076912344
UCLA,-5.746763779533738,2,-8.7,21.7,30.4,0.1,NA,NA,79,-0.7266076843617568,NA,0.058293967241592665,-0.5023500696179427
Marshall,-6.15863069159599,2,-4.5,29.6,34.8,0.7,NA,NA,44,-0.407675532779479,NA,-0.8485010787387377,-0.5336256887678387
Colorado,-6.435868611551524,2,-8.3,22.6,29.5,-1.4,NA,NA,69,-0.6962331937348732,NA,-0.2007903316099303,-0.5546780902706039
Troy,-6.47039831765491,2,-4.8,23.6,29,0.7,NA,NA,43,-0.43045640074964164,NA,-0.87440950862389,-0.5573001458565697
Jacksonville State,-6.699999999999999,1,-6.7,27.2,32.4,-1.6,NA,NA,NA,-0.5747352312273388,NA,NA,-0.5747352312273388
Virginia Tech,-7.526619073719396,2,-10.1,21.4,30.8,-0.7,NA,NA,71,-0.8329184015558496,NA,-0.1489734718396257,-0.6375055644940714
Boston College,-7.553544872140738,2,-8.5,23.3,33.1,1.3,NA,NA,59,-0.7114204390483151,NA,-0.4598746304614532,-0.6395502080234974
Temple,-7.6595031496726955,2,-5.1,27.1,33.2,1,NA,NA,33,-0.45323726871980435,NA,-1.1334938074754128,-0.6475962797928354
FAU,-8.7,1,-8.7,27.8,38.1,1.5,NA,NA,NA,-0.7266076843617568,NA,NA,-0.7266076843617568
Central Michigan,-8.8,1,-8.8,17.6,25.7,-0.7,NA,NA,NA,-0.7342013070184779,NA,NA,-0.7342013070184779
Arkansas State,-8.8,1,-8.8,24.4,33.5,0.3,NA,NA,NA,-0.7342013070184779,NA,NA,-0.7342013070184779
Georgia Southern,-9.400000000000002,1,-9.4,28.3,37.7,0.1,NA,NA,NA,-0.7797630429588034,NA,NA,-0.7797630429588034
Stanford,-10.203133464603216,2,-11.8,18.4,28.6,-1.7,NA,NA,56,-0.962009986720105,NA,-0.5375999201169102,-0.8407499676906207
Southern Miss,-10.355339431295818,2,-7.1,27,32.8,-1.3,NA,NA,20,-0.6051097218542224,NA,-1.4703033959823928,-0.8523079144622712
Liberty,-10.640181258933396,2,-9,24.6,32.8,-0.7,NA,NA,31,-0.7493885523319196,NA,-1.1853106672457174,-0.8739377280215761
Buffalo,-10.73853562878331,2,-7.5,18.2,27.4,1.6,NA,NA,19,-0.635484212481106,NA,-1.496211825867545,-0.8814063877343743
Louisiana,-10.841004074008438,2,-10.1,25.3,34,-1.4,NA,NA,37,-0.8329184015558496,NA,-1.0298600879348037,-0.8891874548069794
Syracuse,-11.326668716721063,2,-13.1,18.8,33,1.1,NA,NA,54,-1.0607270812574767,NA,-0.5894167798872147,-0.9260669951516877
Wyoming,-11.405701195831675,2,-11.3,15.3,24.7,-1.8,NA,NA,40,-0.9240418734365005,NA,-0.9521347982793469,-0.9320684233915995
Tulsa,-12.231804179177974,2,-10,21.7,33.1,1.4,NA,NA,22,-0.8253247788991286,NA,-1.4184865362120882,-0.9947995667028313
Appalachian State,-12.256985061445906,2,-11.4,23,35.2,0.9,NA,NA,32,-0.9316354960932214,NA,-1.1594022373605652,-0.9967117078838912
South Alabama,-12.600665019378088,2,-12.7,25.4,36,-2,NA,NA,38,-1.030352590630593,NA,-1.0039516580496515,-1.0228094670360384
FIU,-13.271320418733282,2,-10.5,26.1,35.8,-0.8,NA,NA,15,-0.8632928921827331,NA,-1.5998455454081542,-1.0737365073899963
Bowling Green,-13.406573653908382,2,-12.6,15.4,28.8,0.8,NA,NA,29,-1.0227589679738722,NA,-1.237127527016022,-1.0840071277002008
Nevada,-14.075484137110163,2,-13.4,14.2,28.7,1,NA,NA,28,-1.0835079492276396,NA,-1.2630359569011744,-1.1348016657057924
San Jose State,-14.3,1,-14.3,21.6,34.4,-1.5,NA,NA,NA,-1.1518505531381276,NA,NA,-1.1518505531381276
Eastern Michigan,-14.7,1,-14.7,19.4,34.1,0.1,NA,NA,NA,-1.182225043765011,NA,NA,-1.182225043765011
Coastal Carolina,-15.099999999999998,1,-15.1,23.4,37,-1.4,NA,NA,NA,-1.2125995343918947,NA,NA,-1.2125995343918947
Oklahoma State,-15.099999999999998,1,-15.1,15.2,31.6,1.3,NA,NA,NA,-1.2125995343918947,NA,NA,-1.2125995343918947
New Mexico State,-15.5,1,-15.5,19.7,34.9,-0.3,NA,NA,NA,-1.2429740250187784,NA,NA,-1.2429740250187784
Colorado State,-15.600000000000001,1,-15.6,17.6,32.9,-0.3,NA,NA,NA,-1.2505676476754994,NA,NA,-1.2505676476754994
Oregon State,-15.900000000000002,1,-15.9,17,30.8,-2,NA,NA,NA,-1.273348515645662,NA,NA,-1.273348515645662
Middle Tennessee,-16,1,-16,20.4,37,0.5,NA,NA,NA,-1.280942138302383,NA,NA,-1.280942138302383
Rice,-16.14778516661544,2,-14.8,17.7,33.9,1.3,NA,NA,17,-1.189818666421732,NA,-1.5480286856378496,-1.2921643861977656
Akron,-16.382265229717166,2,-13.9,17.2,29.3,-1.9,NA,NA,8,-1.121476062511244,NA,-1.7812045546042203,-1.3099699173949517
Northern Illinois,-16.7,1,-16.7,12,28.1,-0.6,NA,NA,NA,-1.334097496899429,NA,NA,-1.334097496899429
UAB,-16.76458896912795,2,-15.8,25.5,39.8,-1.5,NA,NA,18,-1.265754892988941,NA,-1.5221202557526974,-1.3390021394928715
UTEP,-19.14865762469215,2,-17.5,20.2,36.3,-1.4,NA,NA,6,-1.3948464781531964,NA,-1.833021414374525,-1.520039317073576
Kent State,-19.3,1,-19.3,17,34.9,-1.5,NA,NA,NA,-1.5315316859741728,NA,NA,-1.5315316859741728
Louisiana Monroe,-22.272192876809992,2,-21.6,16.1,35.7,-2.1,NA,NA,4,-1.7061850070787536,NA,-1.8848382741448295,-1.757228797669061
Ball State,-23,1,-23,13.4,34.4,-2,NA,NA,NA,-1.812495724272846,NA,NA,-1.812495724272846
Georgia State,-24.5,1,-24.5,18.6,41.1,-2,NA,NA,NA,-1.9264000641236596,NA,NA,-1.9264000641236596
Charlotte,-25.817568107893926,2,-26.7,14.5,39.8,-1.4,NA,NA,5,-2.0934597625715194,NA,-1.8589298442596771,-2.026451214482422
Sam Houston,-26.79824621715463,2,-27.8,15.3,41.8,-1.3,NA,NA,3,-2.1769896117954497,NA,-1.9107467040299817,-2.1009202095767447
UMass,-33.27892432641532,2,-36.6,7.8,42.8,-1.5,NA,NA,1,-2.845228405586889,NA,-1.9625635638002863,-2.5930384507907167
